2024-03-08T,1,412045988785.1767394
2024-03-09T,1.0092676381085281,415864681893.3083712
2024-03-10T,1.0053958401797922,414269323087.3860196
2024-03-11T,1.0591507647561205,436418824136.5117796
2024-03-12T,1.0618031154905983,437511714617.50478
2024-03-13T,1.1169265339234759,460225098070.8988878
2024-03-14T,1.1176842436105929,460537309308.1390909
2024-03-15T,1.1026723314730628,454351711127.8743111
2024-03-16T,1.0235957119918201,421768507263.9364974
2024-03-17T,1.0912292648939488,449636641444.5486676
2024-03-18T,1.0630345778001595,438019133722.4996088
2024-03-19T,0.96402554124790954675,397222857357.6600733
2024-03-20T,1.0634052890613358,438171883810.6648027
2024-03-21T,1.0440272365881964,430187235018.6390381
2024-03-22T,1.0290178276236002,424002668260.7409027
2024-03-23T,1.0397143572364486,428410130381.6369268
2024-03-24T,1.0851123549734923,447116193248.06434
2024-03-25T,1.1183411660103392,460807991547.8977185
2024-03-26T,1.1224692573624663,462508955030.8804606
2024-03-27T,1.0970466893510761,452033687857.1687821
2024-03-28T,1.132776454413398,466755994231.335278
2024-03-29T,1.1495979975849841,473687243620.3640075
2024-03-30T,1.1363148650177335,468213982127.5266497
2024-03-31T,1.1725875433157914,483159993722.7365332
2024-04-01T,1.1189172604664434,461045368957.696833
2024-04-02T,1.0498857884263464,432601227803.638753
2024-04-03T,1.0477316253940094,431713613566.9749882
2024-04-04T,1.0719528674320022,441693879192.1248225
2024-04-05T,1.0493854751309136,432395075717.1197766
2024-04-06T,1.0738490106937348,442475177417.2838055
2024-04-07T,1.0857368864343946,447373528931.3992695
2024-04-08T,1.1148836019611343,459383316150.4549976
2024-04-09T,1.0769946449643821,443771323400.6891795
2024-04-10T,1.0879310357151321,448277619341.3230505
2024-04-11T,1.0793235538926757,444730940982.83854
2024-04-12T,0.97426059432893088652,401440169924.6982809
2024-04-13T,0.87826027642185023438,361883624008.9839248
2024-04-14T,0.93574649879975014067,385570591350.2102457
2024-04-15T,0.89814591847514593256,370077423051.462243
2024-04-16T,0.88736152203935455077,365633755758.6252473
2024-04-17T,0.86440083033248214688,356172894841.0754002
2024-04-18T,0.90094905152358702267,371232442780.1035587
2024-04-19T,0.90388941109464174547,372444006146.9427601
2024-04-20T,0.9578042241892784775,394659388618.690347
2024-04-21T,0.95070247255474441329,391733140344.3320134
2024-04-22T,0.98867618115083302027,407380054650.6475091
2024-04-23T,0.97551244866002474878,401955991480.3688574
2024-04-24T,0.94157672159860943371,387972911268.2041037
2024-04-25T,0.94001715166554029031,387330296733.0529966
2024-04-26T,0.91905742609786412349,378693925886.8539206
2024-04-27T,0.92094925570721725957,379473446688.8529082
2024-04-28T,0.91410279796205167473,376652391237.5702232
2024-04-29T,0.90871895052844892108,374433998498.3228404
2024-04-30T,0.86400394700998630317,356009360660.0252541
2024-05-01T,0.87448618723151715424,360328525696.7896837
2024-05-02T,0.8866878441879724317,365356169502.2298287
2024-05-03T,0.9295713706639299525,383026154571.6110511
2024-05-04T,0.93986038390280874177,387265701205.2486357
2024-05-05T,0.94655586822397247471,390024548662.7581939
2024-05-06T,0.94576158381498841841,389697266958.0817087
2024-05-07T,0.92204376704940057687,379924435697.0794241
2024-05-08T,0.91113303247222867779,375428711279.8560117
2024-05-09T,0.94647463668468944623,389991077532.8337765
2024-05-10T,0.91970649613153236615,378961372590.6675796
2024-05-11T,0.91986455238363841798,379026499035.3502969
2024-05-12T,0.91728833985532146335,377964980996.7991772
2024-05-13T,0.9251402779207861684,381200340580.8635494
2024-05-14T,0.8970760524308439124,369636589039.3701314
2024-05-15T,0.95633313036659837183,394053230309.9283574
2024-05-16T,0.94659175813112168661,390039336955.0368991
2024-05-17T,0.97663622696637421193,402419039823.7839532
2024-05-18T,0.97813738374732842889,403037585453.9138065
2024-05-19T,0.95612889287434298122,393969075070.4849801
2024-05-20T,1.0329513391978003,425623455926.7301061
2024-05-21T,1.0312536749127921,424923940167.7886497
2024-05-22T,1.0188945888936134,419831428348.5350887
2024-05-23T,0.99977253137669765437,411952261251.3705215
2024-05-24T,0.99562961275169084381,410245188250.0730654
2024-05-25T,1.0089015734105272,415713846402.8612492
2024-05-26T,0.99163976727447122716,408601188425.3120431
2024-05-27T,1.015643953347406,418492017010.7178106
2024-05-28T,1.0105826464885844,416406525821.529459
2024-05-29T,0.98289696932812079985,404998753600.7590687
2024-05-30T,0.90236800411039313479,371817116501.7733675
2024-05-31T,0.96825101260863452965,398963945882.5734451
2024-06-01T,0.97259091746664237768,400752186271.0248809
2024-06-02T,0.96659134106976294764,398280084882.2804882
2024-06-03T,0.9799656188774484108,403790902405.8358907
2024-06-04T,1.0255639473093949,422579510731.5285348
2024-06-05T,1.0382659986422629,427813340032.5802004
2024-06-06T,1.0311880517278825,424896900397.6753382
2024-06-07T,0.98157676823595903,404454770036.344002
2024-06-08T,0.96343495897992561254,396979510303.0896409
2024-06-09T,0.97239324507164471268,400670736153.572534
2024-06-10T,0.94440898958533485587,389139935931.2989821
2024-06-11T,0.90425724775926197982,372595571769.127646
2024-06-12T,0.94001263938640899887,387328437466.5366689
2024-06-13T,0.90352184753289496748,372292553055.7014076
2024-06-14T,0.89058427859842876099,366961679671.6228941
2024-06-15T,0.9000231135401867646,370850913748.1796468
2024-06-16T,0.91235425699776823215,375931911947.0106657
2024-06-17T,0.87953108176534995972,362407254253.2997553
2024-06-18T,0.83973244062802912984,346008383813.565983
2024-06-19T,0.84676909762708355991,348907810104.4835001
2024-06-20T,0.84261915954651321554,347197844764.6776341
2024-06-21T,0.84181340328272105037,346865836128.2435417
